FG,版次,物料描述,工厂,BOM用途,创建日期,修改日期,component,版次,组件描述,quantity,超领率,UOM,采购类型,优先级,替代组,使用可能性,ICT项目类别,排序字符串,项目文本行 2,策略,与核算成本相关标识,项目文本行1,生产仓储地点
502-2025,1D,"Mod Ass-BOM,CWDM4 Lite V2.0,FB(Gen3 Mit)",1000,1,6/10/19,6/30/22,302-0004,1B,TSLG Nylok Screw M1.4x0.3x5.45,2000.000,1.80,ST,F,0,,0,L,,,,X,,5016
502-2025,1D,"Mod Ass-BOM,CWDM4 Lite V2.0,FB(Gen3 Mit)",1000,1,6/10/19,2/28/23,310-0401,1C,"Dust cover EPDM,Duplex LC,Black",1000.000,0,ST,F,0,,0,L,,,,X,,5016
502-2025,1D,"Mod Ass-BOM,CWDM4 Lite V2.0,FB(Gen3 Mit)",1000,1,6/10/19,2/28/23,320-0284,1A,"Spring OD 1.5mm,l:7.3mm, W-D:0.2mm",2000.000,0.20,ST,F,0,,0,L,,,,X,,5016
502-2025,1D,"Mod Ass-BOM,CWDM4 Lite V2.0,FB(Gen3 Mit)",1000,1,7/18/19,3/30/21,330-0101,1B,"Label,rounded corner,white,blank,for Box",1000.000,0,ST,F,0,,0,L,,,,X,,5016
502-2025,1D,"Mod Ass-BOM,CWDM4 Lite V2.0,FB(Gen3 Mit)",1000,1,5/15/20,2/28/23,311-0276,1A,EMI PAD,2000.000,0,ST,F,0,,0,L,,,,X,,5016
502-2025,1D,"Mod Ass-BOM,CWDM4 Lite V2.0,FB(Gen3 Mit)",1000,1,5/15/20,2/28/23,311-0244,1A,"mylar,PC98,10.2X14X0.1MM",2000.000,0.20,ST,F,0,,0,L,,,,X,,5016
502-2025,1D,"Mod Ass-BOM,CWDM4 Lite V2.0,FB(Gen3 Mit)",1000,1,1/4/22,,310-0104,1A,"Epoxy,Innolight,T-002,10ml/支",115.000,0,ML,F,0,,0,L,,,,,,5016
502-2025,1D,"Mod Ass-BOM,CWDM4 Lite V2.0,FB(Gen3 Mit)",1000,1,1/4/22,3/7/23,310-0485,1A,"Epoxy,Laird ID-CSS-E-SNL60(50G/管)",120.132,0,G,F,0,,0,L,,,,,,5016
502-2025,1D,"Mod Ass-BOM,CWDM4 Lite V2.0,FB(Gen3 Mit)",1000,1,1/4/22,3/7/23,313-0039,1A,"Silicon,Innolight,SN-611,30ml/支",70.465,0,ML,F,0,,0,L,,,,,,5016
502-2025,1D,"Mod Ass-BOM,CWDM4 Lite V2.0,FB(Gen3 Mit)",1000,1,1/4/22,3/7/23,313-0043,1A,"Epoxy,Innolight,UV-114,3ml/支",15.003,0,ML,F,0,,0,L,,,,,,5016
502-2026,1D,"Mod,CWDM4 Lite V2.0,FB(Gen3 Mit+M37244)",1000,1,6/10/19,6/25/19,260-0198,1D,"BOSA Ass-BOM,CWDM4 V2.0,Gen3 Mit+M37244",1000.000,0,ST,E,0,,0,L,,,,X,,5016
502-2026,1D,"Mod,CWDM4 Lite V2.0,FB(Gen3 Mit+M37244)",1000,1,6/10/19,2/28/23,300-0150,1E,Housing body,1000.000,0.10,ST,F,0,,0,L,,,,X,,6010
502-2026,1D,"Mod,CWDM4 Lite V2.0,FB(Gen3 Mit+M37244)",1000,1,6/10/19,12/5/22,300-0151,1D,Housing lid,1000.000,0.20,ST,F,0,,0,L,,,,X,,6010
502-2026,1D,"Mod,CWDM4 Lite V2.0,FB(Gen3 Mit+M37244)",1000,1,6/10/19,2/28/23,300-0152,1E,Housing adapter,1000.000,0.10,ST,F,0,,0,L,,,,X,,6010
502-2026,1D,"Mod,CWDM4 Lite V2.0,FB(Gen3 Mit+M37244)",1000,1,6/10/19,2/28/23,310-0577,1A,"PULL TAB,GREEN,2292U,Facebook",1000.000,0.10,ST,F,0,,0,L,,,,X,,6010
502-2026,1D,"Mod,CWDM4 Lite V2.0,FB(Gen3 Mit+M37244)",1000,1,6/10/19,6/30/22,302-0007,1B,TSLG Nylok Screw M1.4x0.3x4.63,2000.000,1.80,ST,F,0,,0,L,,,,X,,5016
502-2026,1D,"Mod,CWDM4 Lite V2.0,FB(Gen3 Mit+M37244)",1000,1,6/10/19,6/30/22,302-0004,1B,TSLG Nylok Screw M1.4x0.3x5.45,2000.000,1.80,ST,F,0,,0,L,,,,X,,5016
502-2026,1D,"Mod,CWDM4 Lite V2.0,FB(Gen3 Mit+M37244)",1000,1,6/10/19,2/28/23,310-0401,1C,"Dust cover EPDM,Duplex LC,Black",1000.000,0,ST,F,0,,0,L,,,,X,,5016
502-2026,1D,"Mod,CWDM4 Lite V2.0,FB(Gen3 Mit+M37244)",1000,1,6/10/19,2/28/23,320-0284,1A,"Spring OD 1.5mm,l:7.3mm, W-D:0.2mm",2000.000,0.20,ST,F,0,,0,L,,,,X,,5016
502-2026,1D,"Mod,CWDM4 Lite V2.0,FB(Gen3 Mit+M37244)",1000,1,7/18/19,3/30/21,330-0101,1B,"Label,rounded corner,white,blank,for Box",1000.000,0,ST,F,0,,0,L,,,,X,,5016
502-2026,1D,"Mod,CWDM4 Lite V2.0,FB(Gen3 Mit+M37244)",1000,1,5/15/20,2/28/23,311-0244,1A,"mylar,PC98,10.2X14X0.1MM",2000.000,0.20,ST,F,0,,0,L,,,,X,,5016
502-2026,1D,"Mod,CWDM4 Lite V2.0,FB(Gen3 Mit+M37244)",1000,1,5/15/20,2/28/23,311-0276,1A,EMI PAD,2000.000,0,ST,F,0,,0,L,,,,X,,5016
502-2026,1D,"Mod,CWDM4 Lite V2.0,FB(Gen3 Mit+M37244)",1000,1,1/4/22,,310-0104,1A,"Epoxy,Innolight,T-002,10ml/支",115.000,0,ML,F,0,,0,L,,,,,,5016
502-2026,1D,"Mod,CWDM4 Lite V2.0,FB(Gen3 Mit+M37244)",1000,1,1/4/22,,310-0485,1A,"Epoxy,Laird ID-CSS-E-SNL60(50G/管)",87.000,0,G,F,0,,0,L,,,,,,5016
502-2026,1D,"Mod,CWDM4 Lite V2.0,FB(Gen3 Mit+M37244)",1000,1,1/4/22,,313-0039,1A,"Silicon,Innolight,SN-611,30ml/支",63.000,0,ML,F,0,,0,L,,,,,,5016
502-2026,1D,"Mod,CWDM4 Lite V2.0,FB(Gen3 Mit+M37244)",1000,1,1/4/22,,313-0043,1A,"Epoxy,Innolight,UV-114,3ml/支",17.000,0,ML,F,0,,0,L,,,,,,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,,199-0001,1A,NO Component,4000.000,0,ST,,0,,0,N,,,,,"C1,R1,Q1,C59",
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,100-0033,1A,"Capacitor,1000PF(1nf),±10%,0201,X7R,25V",4000.000,0,ST,F,0,,0,L,,,,X,"C14,C26,C48,C51",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,100-0024,1A,"Capacitor,0.1uF,±10%,0201,X5R,6.3V",16000.000,0,ST,F,0,,0,L,,",C47,C50,C56,C94,C97",,X,"C4,C5,C6,C13,C16,C19,C25,C34,C39,C40,C43",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,100-0115,1A,"Capacitor,4.7nF,±5%,0402,U2J,10V",4000.000,0,ST,F,0,,0,L,,,,X,"C46,C74,C76,C80",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,100-0086,1A,"Capacitor,0.1uF,±10%,01005,X5R,6.3V",16000.000,0,ST,F,0,,0,L,,"C85,C86,C87,C88,C90,C91",,X,"C70,C72,C75,C77,C78,C79,C81,C82,C83,C84,",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,100-0122,1A,"Capacitor,0.47uF,±10%,0402,X7R,10V",1000.000,0,ST,F,0,,0,L,,,,X,C11,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,100-0061,1A,"Capacitor,0.47uF,±10%,0201,X5R,6.3V",2000.000,0,ST,F,0,,0,L,,,,X,"C35,C58",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,100-0062,1A,"Capacitor,1uF,±20%,0201,X5R,6.3V",2000.000,0,ST,F,0,,0,L,,,,X,"C18,C41",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,100-0025,1A,"Capacitor,10000pF,±10%,0201,X7R,10V",15000.000,0,ST,F,0,,0,L,,"33,C36,C37,C49,C98",,X,"C9,C10,C21,C22,C23,C27,C29,C30,C31,C32,C",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,100-0074,1A,"Capacitor,10UF,±20%,0402,X5R,6.3V",8000.000,0,ST,F,0,,0,L,,,,X,"C7,C20,C38,C42,C44,C45,C53,C57",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,100-0038,1A,"Capacitor,100pF,±5%,0201,C0G,50V",2000.000,0,ST,F,0,,0,L,,,,X,"C2,C96",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,100-0073,1A,"Capacitor,22uF,±20%,0603,X5R,6.3V",1000.000,0,ST,F,0,,0,L,,,,X,C3,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,100-0088,1A,"Capacitor,2.2uF,±20%,0201,X5R,6.3V",3000.000,0,ST,F,0,,0,L,,,,X,"C12,C17,C28",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,100-0021,1A,"Capacitor,4.7uF,±20%,0402,X5R,6.3V",1000.000,0,ST,F,0,,0,L,,,,X,C24,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0298,1A,"Resistor,0201,±1%,0.05W,39K ohm",2000.000,0,ST,F,0,A1,100,L,,,1,X,"R3,R4",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0368,1A,"Res,RMS02FT3902,0201,±1%,1/20W,39K",2000.000,0,ST,F,0,A1,0,L,,,1,X,"R3,R4",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0002,1A,"Resistor,0201,±1%,1.2K ohm",2000.000,0,ST,F,0,A2,100,L,,,1,X,"R27,R43",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0369,1A,"Resistor,0201,±1%,1/20W,1.2K ohm",2000.000,0,ST,F,0,A2,0,L,,,1,X,"R27,R43",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0252,1A,"Resistor,0201,±1%,2.1K ohm",2000.000,0,ST,F,0,A3,100,L,,,1,X,"R23,R25",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0370,1A,"Res,RMS02FT2101,0201,±1%,1/20W,2.1K",2000.000,0,ST,F,0,A3,0,L,,,1,X,"R23,R25",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0011,1A,"Resistor,0201,±5%,39 ohm",4000.000,0,ST,F,0,A4,100,L,,,1,X,"R19,R20,R21,R22",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0371,1A,"Res,0201,±5%,1/20W,39 ohm",4000.000,0,ST,F,0,A4,0,L,,,1,X,"R19,R20,R21,R22",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0243,1A,"Resistor,0201,±1%,13K ohm",1000.000,0,ST,F,0,A5,100,L,,,1,X,R41,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0372,1A,"Res,RMS02FT1302,0201,±1%,1/20W,13K",1000.000,0,ST,F,0,A5,0,L,,,1,X,R41,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0064,1A,"Resistor,0201,±1%,10K ohm",10000.000,0,ST,F,0,,0,L,,,,X,"R8,R10,R11,R13,R18,R26,R28,R29,R30,R46",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0267,1A,"Resistor,0201,±1%,430K ohm",1000.000,0,ST,F,0,A6,100,L,,,1,X,R5,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0373,1A,"Res,RMS02FT4303,0201,±1%,1/20W,430K",1000.000,0,ST,F,0,A6,0,L,,,1,X,R5,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0207,1A,"Resistor,0201,±1%,6.8K ohm",4000.000,0,ST,F,0,A7,100,L,,,1,X,"R14,R15,R16,R17",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0374,1A,"Res,RMS02FT6801,0201,±1%,1/20W,6.8K",4000.000,0,ST,F,0,A7,0,L,,,1,X,"R14,R15,R16,R17",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0272,1A,"Resistor,0201,±1%,240K ohm",1000.000,0,ST,F,0,B1,100,L,,,1,X,R9,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0375,1A,"Res,RMS02FT2403,0201,±1%,1/20W,240K",1000.000,0,ST,F,0,B1,0,L,,,1,X,R9,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0273,1A,"Resistor,0201,±1%,680K ohm",1000.000,0,ST,F,0,B2,100,L,,,1,X,R12,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0376,1A,"Res,RMS02FT6803,0201,±1%,1/20W,680K",1000.000,0,ST,F,0,B2,0,L,,,1,X,R12,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0241,1A,"Resistor,0201,±1%,4.7K ohm",2000.000,0,ST,F,0,B3,100,L,,,1,X,"R24,R44",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0377,1A,"Res,RMS02FT4701,0201,±1%,1/20W,4.7K",2000.000,0,ST,F,0,B3,0,L,,,1,X,"R24,R44",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0177,1A,"Resistor,0201,±1%,0.05W,33K ohm",1000.000,0,ST,F,0,B4,100,L,,,1,X,R40,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0378,1A,"Res,RMS02FT3302,0201,±1%,1/20W,33K",1000.000,0,ST,F,0,B4,0,L,,,1,X,R40,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0001,1A,"Resistor,0201,0.5A,0 ohm",2000.000,0,ST,F,0,,0,L,,,,X,"R2,C95",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0213,1A,"Resistor,0201,±5%,47K ohm",1000.000,0,ST,F,0,B5,100,L,,,1,X,R6,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0379,1A,"Res,RMS02JT473,0201,±5%,1/20W,47K",1000.000,0,ST,F,0,B5,0,L,,,1,X,R6,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0237,1A,"Resistor,0201,±1%,1M ohm",1000.000,0,ST,F,0,B6,100,L,,,1,X,R42,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0380,1A,"Resistor,0201,±1%,1/20W,1M ohm",1000.000,0,ST,F,0,B6,0,L,,,1,X,R42,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0308,1A,"Resistor,0201,±1% 46.4k ohm",1000.000,0,ST,F,0,B7,100,L,,,1,X,R31,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0381,1A,"Resistor,0201,±1%,1/20W,46.4k ohm",1000.000,0,ST,F,0,B7,0,L,,,1,X,R31,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,110-0161,1A,"Resistor,0201,±1%,200 ohm",1000.000,0,ST,F,0,,0,L,,,,X,R45,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,120-0051,1A,"Ferrite,0402,10 Ohm,100MHz,1A,lead free",7000.000,0,ST,F,0,,0,L,,,,X,"L2,L3,L5,L8,L9,L11,L22",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,120-0099,1A,"Ind,2.2uH±20%,75MHz,0.173ohm,2.1X2.2X1.0",1000.000,0,ST,F,0,,0,L,,,,X,L14,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,120-0100,1A,"Ind,1.5uH±20%,80MHz,0.116ohm,2.1x2.2x1.0",1000.000,0,ST,F,0,,0,L,,,,X,L1,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,120-0143,1A,"Ind,1uH±20%,0402,1MHz,270mA,0.94ohm",1000.000,0,ST,F,0,,0,L,,,,X,L7,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,120-0129,1A,"Ferrite,0201,600 ohm±25%,100MHz,250mA",8000.000,0,ST,F,0,,0,L,,,,X,"L10,L13,L15,L16,L17,L18,L19,L20",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,140-0392,1A,"IC,5.5V 3A with discharge Resistor",3000.000,0,ST,F,0,,0,L,,,,X,"U3,U4,U15",5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,140-0221,1A,"IC,3*3mm,BGA36PIN,lead free",1000.000,0,ST,F,0,,0,L,,,,X,U6,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,140-0341,1A,"IC,25-28Gb/s Quad CDR& Driver",1000.000,0,ST,F,0,,0,L,,,,X,U5,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,140-0179,1A,"IC,High-Efficiency,Step-Down Converter",1000.000,0,ST,F,0,,0,L,,,,X,U14,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,140-0246,1A,"IC,boost converter",1000.000,0,ST,F,0,,0,L,,,,X,U2,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,140-0386,1A,"IC,ultra small adjustable sequencing",1000.000,0,ST,F,0,,0,L,,,,X,U16,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,140-0253,1A,P-Channel Power MOSFET,1000.000,0,ST,F,0,,0,L,,,,X,Q2,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,140-0384,1A,"Diode,30V schottky barrier diode",1000.000,0,ST,F,0,,0,L,,,,X,D1,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,7/1/19,160-1153,4B,PCB isola 370HR+M6,1000.000,0,ST,F,0,,0,L,,,,X,,5016
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,,700-1176,3A,"Schematics,QSFP28 CWDM4 COP-Duplex",1000.000,0,ST,E,0,,0,N,,,,,,
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,,710-1176,4A,"Assembly drawing,QSFP28 CWDM4 COP-Duplex",1000.000,0,ST,E,0,,0,N,,,,,,
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,,730-1177,4A,"PCB fab drawing,QSFP28 CWDM4 COP-Duplex",1000.000,0,ST,E,0,,0,N,,,,,,
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,,740-1181,4A,"PCB pick & place,QSFP28 CWDM4 COP-Duplex",1000.000,0,ST,E,0,,0,N,,,,,,
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,,750-1192,4B,"Gerber file,QSFP28 CWDM4 COP-Duplex",1000.000,0,ST,E,0,,0,N,,,,,,
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,,770-1178,4A,"PCB Layout drawing,QSFP28 CWDM4 COP",1000.000,0,ST,E,0,,0,N,,,,,,
504-1319,4B,"PCBA BOM,QSFP28 CWDM4 COP-Duplex",1000,1,6/11/19,,780-1175,1B,"PCB dimension&tolerance,QSFP28 CWDM4 COP",1000.000,0,ST,E,0,,0,N,,,,,,
504-1369,1B,"PCBA BOM,CWDM4 COP DUPLEX with M37244",1000,1,6/11/19,7/1/19,100-0033,1A,"Capacitor,1000PF(1nf),±10%,0201,X7R,25V",3000.000,0,ST,F,0,,0,L,,,,X,"C14,C48,C51",9030
504-1369,1B,"PCBA BOM,CWDM4 COP DUPLEX with M37244",1000,1,6/11/19,7/1/19,100-0024,1A,"Capacitor,0.1uF,±10%,0201,X5R,6.3V",18000.000,0,ST,F,0,,0,L,,"C43,C47,C50,C56,C94,C95,C97",,X,"C4,C5,C6,C13,C16,C19,C25,C26,C34,C39,C40",9030
504-1369,1B,"PCBA BOM,CWDM4 COP DUPLEX with M37244",1000,1,6/11/19,7/1/19,100-0115,1A,"Capacitor,4.7nF,±5%,0402,U2J,10V",4000.000,0,ST,F,0,,0,L,,,,X,"C46,C74,C76,C80",9030
504-1369,1B,"PCBA BOM,CWDM4 COP DUPLEX with M37244",1000,1,6/11/19,7/1/19,100-0086,1A,"Capacitor,0.1uF,±10%,01005,X5R,6.3V",16000.000,0,ST,F,0,,0,L,,"C85,C86,C87,C88,C90,C91",,X,"C70,C72,C75,C77,C78,C79,C81,C82,C83,C84,",9030
504-1369,1B,"PCBA BOM,CWDM4 COP DUPLEX with M37244",1000,1,6/11/19,7/1/19,100-0061,1A,"Capacitor,0.47uF,±10%,0201,X5R,6.3V",3000.000,0,ST,F,0,,0,L,,,,X,"C11,C35,C58",9030
504-1369,1B,"PCBA BOM,CWDM4 COP DUPLEX with M37244",1000,1,6/11/19,7/1/19,100-0062,1A,"Capacitor,1uF,±20%,0201,X5R,6.3V",2000.000,0,ST,F,0,,0,L,,,,X,"C18,C41",9030
504-1369,1B,"PCBA BOM,CWDM4 COP DUPLEX with M37244",1000,1,6/11/19,7/1/19,100-0025,1A,"Capacitor,10000pF,±10%,0201,X7R,10V",20000.000,0,ST,F,0,,0,L,,"C36,C37,C49,C93,C98,C331,C336,C337,C338,",,X,"C9,C10,C21,C22,C23,C27,C29,C30,C32,C33,",9030
504-1369,1B,"PCBA BOM,CWDM4 COP DUPLEX with M37244",1000,1,6/11/19,7/1/19,100-0074,1A,"Capacitor,10UF,±20%,0402,X5R,6.3V",9000.000,0,ST,F,0,,0,L,,,,X,"C7,C20,C38,C42,C44,C45,C53,C57,C92",9030
504-1369,1B,"PCBA BOM,CWDM4 COP DUPLEX with M37244",1000,1,6/11/19,7/1/19,100-0038,1A,"Capacitor,100pF,±5%,0201,C0G,50V",2000.000,0,ST,F,0,,0,L,,,,X,"C2,C96",9030
504-1369,1B,"PCBA BOM,CWDM4 COP DUPLEX with M37244",1000,1,6/11/19,7/1/19,100-0073,1A,"Capacitor,22uF,±20%,0603,X5R,6.3V",1000.000,0,ST,F,0,,0,L,,,,X,C3,9030
504-1369,1B,"PCBA BOM,CWDM4 COP DUPLEX with M37244",1000,1,6/11/19,7/1/19,100-0088,1A,"Capacitor,2.2uF,±20%,0201,X5R,6.3V",3000.000,0,ST,F,0,,0,L,,,,X,"C12,C17,C28",9030
504-1369,1B,"PCBA BOM,CWDM4 COP DUPLEX with M37244",1000,1,6/11/19,7/1/19,100-0021,1A,"Capacitor,4.7uF,±20%,0402,X5R,6.3V",1000.000,0,ST,F,0,,0,L,,,,X,C24,9030
504-1369,1B,"PCBA BOM,CWDM4 COP DUPLEX with M37244",1000,1,6/11/19,7/1/19,110-0298,1A,"Resistor,0201,±1%,0.05W,39K ohm",1000.000,0,ST,F,0,,0,L,,,,X,R40,9030
504-1369,1B,"PCBA BOM,CWDM4 COP DUPLEX with M37244",1000,1,6/11/19,7/1/19,110-0121,1A,"Resistor,0201,±5%,5.1K ohm",2000.000,0,ST,F,0,,0,L,,,,X,"R23,R25",9030
504-1369,1B,"PCBA BOM,CWDM4 COP DUPLEX with M37244",1000,1,6/11/19,7/1/19,110-0002,1A,"Resistor,0201,±1%,1.2K ohm",3000.000,0,ST,F,0,,0,L,,,,X,"R4,R27,R43",9030
504-1369,1B,"PCBA BOM,CWDM4 COP DUPLEX with M37244",1000,1,6/11/19,7/1/19,110-0011,1A,"Resistor,0201,±5%,39 ohm",4000.000,0,ST,F,0,,0,L,,,,X,"R19,R20,R21,R22",9030
504-1369,1B,"PCBA BOM,CWDM4 COP DUPLEX with M37244",1000,1,6/11/19,7/1/19,110-0243,1A,"Resistor,0201,±1%,13K ohm",1000.000,0,ST,F,0,,0,L,,,,X,R41,9030
504-1369,1B,"PCBA BOM,CWDM4 COP DUPLEX with M37244",1000,1,6/11/19,7/1/19,110-0064,1A,"Resistor,0201,±1%,10K ohm",13000.000,0,ST,F,0,,0,L,,"R44,R49,R50",,X,"R3,R8,R10,R11,R13,R18,R26,R28,R29,R30,",9030
504-1369,1B,"PCBA BOM,CWDM4 COP DUPLEX with M37244",1000,1,6/11/19,7/1/19,110-0267,1A,"Resistor,0201,±1%,430K ohm",1000.000,0,ST,F,0,,0,L,,,,X,R5,9030
504-1369,1B,"PCBA BOM,CWDM4 COP DUPLEX with M37244",1000,1,6/11/19,7/1/19,110-0207,1A,"Resistor,0201,±1%,6.8K ohm",4000.000,0,ST,F,0,,0,L,,,,X,"R14,R15,R16,R17",9030
504-1369,1B,"PCBA BOM,CWDM4 COP DUPLEX with M37244",1000,1,6/11/19,7/1/19,110-0272,1A,"Resistor,0201,±1%,240K ohm",1000.000,0,ST,F,0,,0,L,,,,X,R9,9030
