类,交货,项目,类别,创建者,时间,创建日期,PN,已输入物料,物料组,Plant,Storage,批次,供应商批次,客户物料号,产品模式,Quantity_Delivered,计,SU,分子,分母,净重量,毛重,WUn,业务量,VUn,PD,无限制,过量交货限度,交货不足限度,BS,冻结,Mat.Av.Dt.,Quantity,Description,仓位,起始凭证,项目,凭证,PrDocLogSys,参考凭证,参考项,U,上层项,BilRl,LGrp,运输组
800,0080210392,10,YKEN,BIZLINK,2:19:54 PM,2/29/24,500-5391-025,500-5391-025,500,1000,3013,,,10-3180-04,MM,20,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/29/24,20,Q28 AOC G3 25m Sony Vcsel Cisco,,,0,,,0040019538,370,X,0,K,0001,0001
800,0080212421,10,ZTAN,BIZLINK,8:51:35 PM,3/13/24,500-3776-02,500-3776-02,500,7000,3013,,,TR-FC13T-N00,SM,20,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/13/24,20,"100G CWDM4 V2.0,Std(Welding+Oclaro DFB)",,,0,,,0010039248,60,X,0,K,0001,0001
800,0080212802,10,ZTAN,BIZLINK,7:37:54 AM,3/16/24,500-5359,500-5359,500,1000,3013,,,TR-FC85S-N00,MM,20,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/16/24,20,"100G SR4 G3(2108S/09S,Sony Vcsel )Std",,,0,,,0010039490,10,X,0,K,0001,0001
800,0080213685,10,ZTAN,WANGZB,8:52:02 PM,3/20/24,500-6448,500-6448,500,1000,3013,,,3406A08L,SM,20,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/20/24,20,"40G QSFP+ LX4 Gen3(Q28 CWDM4 Gen3),H3C",,,0,,,0010037281,10,X,0,K,0001,0001
800,0080204943,50,ZTAN,WANGZB,10:53:11 AM,1/22/24,500-6161,500-6161,500,1000,3013,,,3406A079,SM,22,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/22/24,22,"40G QSFP+ LR4 V3.0(100G CWDM4 Ocl),UNIS",,,0,,,0010038227,50,X,0,K,0001,0001
800,0080212631,10,ZTAN,WANGZB,9:03:08 AM,3/15/24,500-6266,500-6266,500,1000,3013,,,3406A078,SM,22,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/15/24,22,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",,,0,,,0010038531,10,X,0,K,0001,0001
800,0080202573,10,ZTAN,BIZLINK,2:08:06 PM,1/6/24,561-0120,561-0120,561,7000,3013,,,XCVR-Q00Z85,MM,24,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/8/24,24,"100G SR4 Gen3,Sem+Sony Vcsel,Cinea,TW",,,0,,,0010038402,10,X,0,K,0001,0001
800,0080206275,10,YKEN,BIZLINK,9:24:30 PM,1/29/24,561-0026,561-0026,561,7000,3013,,,740-061408,SM,24,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/29/24,24,"CWDM4,Juniper S3BU,Gen3 Mits DFB,TW",,,0,,,0040018898,10,X,0,K,0001,0001
800,0080206587,10,YKEN,BIZLINK,3:25:30 PM,1/30/24,561-0026,561-0026,561,7000,3013,,,740-061408,SM,24,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/30/24,24,"CWDM4,Juniper S3BU,Gen3 Mits DFB,TW",,,0,,,0040018806,10,X,0,K,0001,0001
800,0080207667,10,ZTAN,BIZLINK,9:31:36 AM,2/7/24,500-5359,500-5359,500,1000,3013,,,TR-FC85S-N00,MM,24,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/5/24,24,"100G SR4 G3(2108S/09S,Sony Vcsel )Std",,,0,,,0010038993,10,X,0,K,0001,0001
800,0080209854,10,YKEN,BIZLINK,1:09:10 PM,2/27/24,561-0026,561-0026,561,7000,3013,,,740-061408,SM,24,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/27/24,24,"CWDM4,Juniper S3BU,Gen3 Mits DFB,TW",,,0,,,0040019361,10,X,0,K,0001,0001
800,0080209855,10,YKEN,BIZLINK,1:09:54 PM,2/27/24,561-0026,561-0026,561,7000,3013,,,740-061408,SM,24,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/27/24,24,"CWDM4,Juniper S3BU,Gen3 Mits DFB,TW",,,0,,,0040019362,10,X,0,K,0001,0001
800,0080209856,10,YKEN,BIZLINK,1:10:45 PM,2/27/24,561-0026,561-0026,561,7000,3013,,,740-061408,SM,24,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/27/24,24,"CWDM4,Juniper S3BU,Gen3 Mits DFB,TW",,,0,,,0040019363,10,X,0,K,0001,0001
800,0080209904,10,YKEN,BIZLINK,2:02:44 PM,2/27/24,561-0026,561-0026,561,7000,3013,,,740-061408,SM,24,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/27/24,24,"CWDM4,Juniper S3BU,Gen3 Mits DFB,TW",,,0,,,0040019403,10,X,0,K,0001,0001
800,0080208968,10,ZTAN,BIZLINK,9:45:32 AM,2/22/24,561-0120,561-0120,561,7000,3013,,,XCVR-Q00Z85,MM,25,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/22/24,25,"100G SR4 Gen3,Sem+Sony Vcsel,Cinea,TW",,,0,,,0010039136,10,X,0,K,0001,0001
800,0080207310,10,ZTAN,BIZLINK,5:40:32 PM,2/4/24,500-7207-005,500-7207-005,500,1000,3013,,,TF-FC005-N00,MM,26,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/4/24,26,"100G AOC Gen3,5m,Sony Vcsel,Standard",,,0,,,0010038568,20,X,0,K,0001,0001
800,0080210064,20,ZTAN,WANGZB,2:12:19 PM,2/28/24,500-6160,500-6160,500,1000,3013,,,3406A078,SM,26,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/28/24,26,"40G QSFP+ IR4 V3.0(100G CWDM4 Ocl),UNIS",,,0,,,0010038227,20,X,0,K,0001,0001
800,0080210065,30,ZTAN,WANGZB,2:12:56 PM,2/28/24,500-6266,500-6266,500,1000,3013,,,3406A078,SM,26,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/28/24,26,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",,,0,,,0010038227,70,X,0,K,0001,0001
800,0080205934,10,YKBN,BIZLINK,6:30:04 PM,1/27/24,500-5391-030,500-5391-030,500,1000,3013,,,10-3181-04,MM,29,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/29/24,29,Q28 AOC G3 30m Sony Vcsel Cisco,,,0,,,0020017748,150,X,0,,0001,0001
800,0080210306,10,YKEN,BIZLINK,11:26:54 AM,2/29/24,500-5391-030,500-5391-030,500,1000,3013,,,10-3181-04,MM,29,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/29/24,29,Q28 AOC G3 30m Sony Vcsel Cisco,,,0,,,0040019508,150,X,0,K,0001,0001
800,0080203210,10,ZTAN,WANGZB,4:01:49 PM,1/10/24,500-5990,500-5990,500,1000,3013,,,3406A077,MM,30,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/10/24,30,100G Q28 SR4 Gen3 Avago UNIS,,,0,,,0010031752,20,X,0,K,0001,0001
800,0080204986,10,YKEN,ZHANGDL,1:57:12 PM,1/22/24,500-5550,500-5550,500,1000,3013,,,34061299,SM,30,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/22/24,30,"100G QSFP28 CWDM4 Gen3,HT,SEI DFB",,,0,,,0040018846,1,X,0,K,0001,0001
800,0080205173,10,YKBN,BIZLINK,2:48:29 PM,1/23/24,500-5391-025,500-5391-025,500,1000,3013,,,10-3180-04,MM,30,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,6/3/24,30,Q28 AOC G3 25m Sony Vcsel Cisco,,,0,,,0020017856,50,X,0,,0001,0001
800,0080205935,10,YKBN,BIZLINK,11:11:05 AM,2/2/24,500-5391-007,500-5391-007,500,1000,3013,,,10-3176-04,MM,30,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/2/24,30,Q28 AOC G3 7m Sony Vcsel Cisco,,,0,,,0020017742,70,X,0,,0001,0001
800,0080208530,10,YKBN,WANGZB,9:26:28 AM,2/19/24,500-5056,500-5056,500,1000,3013,,,3406A05D,SM,30,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/19/24,30,"40G QSFP+LR4 V3 100G CWDM4 Mit DFB,H3C",,,0,,,0020017989,10,X,0,,0001,0001
800,0080210316,10,YKEN,BIZLINK,11:32:07 AM,2/29/24,500-5391-007,500-5391-007,500,1000,3013,,,10-3176-04,MM,30,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/29/24,30,Q28 AOC G3 7m Sony Vcsel Cisco,,,0,,,0040019512,580,X,0,K,0001,0001
800,0080210575,10,YKBN,ZHANGDL,10:27:29 AM,3/1/24,500-5550,500-5550,500,1000,3013,,,34061299,SM,30,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/1/24,30,"100G QSFP28 CWDM4 Gen3,HT,SEI DFB",,,0,,,0020017680,1,X,0,,0001,0001
800,0080210796,10,ZTAN,BIZLINK,12:28:13 PM,3/3/24,500-5481,500-5481,500,1000,3013,,,10-3142-03,MM,30,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/4/24,30,Q28 SR4 G3 100m Sony Vcsel Cisco,,,0,,,0010039140,40,X,0,K,0001,0001
800,0080211606,10,ZTAN,BIZLINK,3:27:16 PM,3/7/24,500-4042,500-4042,500,1000,3013,,,TR-BC13T-N00,SM,30,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/7/24,30,"100G CWDM4 BiDi,Std(Ocl+GCS PD+GN2110B)",,,0,,,0010039488,40,X,0,K,0001,0001
800,0080213017,10,YKEN,BIZLINK,10:37:23 PM,3/17/24,500-5391-007,500-5391-007,500,1000,3013,,,10-3176-04,MM,30,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/17/24,30,Q28 AOC G3 7m Sony Vcsel Cisco,,,0,,,0040019643,70,X,0,K,0001,0001
800,0080213299,10,YKEN,BIZLINK,10:23:58 AM,3/19/24,500-5391-025,500-5391-025,500,1000,3013,,,10-3180-04,MM,30,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/19/24,30,Q28 AOC G3 25m Sony Vcsel Cisco,,,0,,,0040019706,50,X,0,K,0001,0001
800,0080206345,10,YKEN,BIZLINK,1:56:52 PM,1/30/24,500-5500,500-5500,500,1000,3013,,,10-3220-02,SM,32,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/30/24,32,"Q28 CWDM4 Lite V2.0,Cisco(Weld+Mit DFB)",,,0,,,0040018923,10,X,0,K,0001,0001
800,0080206589,10,YKEN,BIZLINK,3:28:31 PM,1/30/24,561-0026,561-0026,561,7000,3013,,,740-061408,SM,32,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/30/24,32,"CWDM4,Juniper S3BU,Gen3 Mits DFB,TW",,,0,,,0040018807,10,X,0,K,0001,0001
800,0080207311,10,ZTAN,BIZLINK,5:40:38 PM,2/4/24,500-7207-010,500-7207-010,500,1000,3013,,,TF-FC010-N00,MM,32,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/4/24,32,"100G AOC Gen3,10m,Sony Vcsel,Standard",,,0,,,0010038568,30,X,0,K,0001,0001
800,0080209055,10,ZTAN,SUNYJ,3:55:20 PM,2/22/24,500-5595,500-5595,500,1000,3013,,,795250EBKK3223,SM,32,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/8/24,32,"100G QSFP28 CWDM4 Gen3,Tencent(SEI,Sif)",,,0,,,0010039118,10,X,0,K,0001,0001
800,0080212595,10,YKBN,BIZLINK,1:41:14 PM,3/18/24,500-5703,500-5703,500,7000,3013,,,10-3512-01,MM,32,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,4/26/24,32,"100G Q28 SR4 G3,Sony Vcsel Cisco",,,0,,,0020017993,10,X,0,,0001,0001
800,0080212596,10,YKBN,BIZLINK,1:41:27 PM,3/18/24,500-5703,500-5703,500,7000,3013,,,10-3512-01,MM,32,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,4/26/24,32,"100G Q28 SR4 G3,Sony Vcsel Cisco",,,0,,,0020017993,20,X,0,,0001,0001
800,0080212597,10,YKBN,BIZLINK,1:41:44 PM,3/18/24,500-5703,500-5703,500,7000,3013,,,10-3512-01,MM,32,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,4/5/24,32,"100G Q28 SR4 G3,Sony Vcsel Cisco",,,0,,,0020017993,30,X,0,,0001,0001
800,0080212602,10,YKBN,BIZLINK,1:43:21 PM,3/18/24,500-5703,500-5703,500,7000,3013,,,10-3512-01,MM,32,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,5/17/24,32,"100G Q28 SR4 G3,Sony Vcsel Cisco",,,0,,,0020017993,110,X,0,,0001,0001
800,0080212632,10,ZTAN,WANGZB,9:03:37 AM,3/15/24,500-6266,500-6266,500,1000,3013,,,3406A078,SM,32,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/15/24,32,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",,,0,,,0010039290,10,X,0,K,0001,0001
800,0080210250,10,YKEN,BIZLINK,10:23:27 AM,2/29/24,500-5614-020,500-5614-020,500,1000,3013,,,10-3179-04,MM,34,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/29/24,34,Q28 AOC G3 20m BRCM Vcsel Cisco,,,0,,,0040019468,1150,X,0,K,0001,0001
800,0080207567,10,ZTAN,BIZLINK,9:51:21 PM,2/6/24,500-3886,500-3886,500,1000,3013,,,5061997001,SM,35,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/6/24,35,"100G eCWDM4 V2.0,for ADVA,GEN3 Mits DFB",,,0,,,0010038808,10,X,0,K,0001,0001
800,0080207586,10,YKBN,BIZLINK,8:00:50 AM,2/7/24,500-5391-030,500-5391-030,500,1000,3013,,,10-3181-04,MM,35,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,5/24/24,35,Q28 AOC G3 30m Sony Vcsel Cisco,,,0,,,0020017856,60,X,0,,0001,0001
800,0080212784,10,ZTAN,BIZLINK,6:26:20 AM,3/16/24,500-3886,500-3886,500,1000,3013,,,5061997001,SM,35,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/16/24,35,"100G eCWDM4 V2.0,for ADVA,GEN3 Mits DFB",,,0,,,0010038857,30,X,0,K,0001,0001
800,0080206686,10,YKBN,BIZLINK,10:09:56 PM,1/30/24,500-5702,500-5702,500,1000,3013,,,10-3512-01,MM,36,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/2/24,36,"100G Q28 SR4 G3,BRCM Vcsel Cisco",,,0,,,0020017929,10,X,0,,0001,0001
800,0080212988,10,YKEN,BIZLINK,10:05:22 PM,3/17/24,500-5702,500-5702,500,1000,3013,,,10-3512-01,MM,36,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/17/24,36,"100G Q28 SR4 G3,BRCM Vcsel Cisco",,,0,,,0040019614,10,X,0,K,0001,0001
800,0080213701,40,ZTAN,WANGZB,9:30:06 PM,3/20/24,500-6267,500-6267,500,1000,3013,,,3406A079,SM,36,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/20/24,36,"40G QSFP+ LR4 V3.0,Mit DFB,GCS,10km,UNIS",,,0,,,0010038531,50,X,0,K,0001,0001
800,0080202618,10,YKBN,BIZLINK,4:00:32 PM,1/6/24,500-5391-025,500-5391-025,500,1000,3013,,,10-3180-04,MM,37,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/19/24,37,Q28 AOC G3 25m Sony Vcsel Cisco,,,0,,,0020017748,370,X,0,,0001,0001
800,0080211705,10,YKBN,BIZLINK,9:16:51 AM,3/8/24,500-5391-020,500-5391-020,500,1000,3013,,,10-3179-04,MM,37,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/8/24,37,Q28 AOC G3 20m Sony Vcsel Cisco,,,0,,,0020017747,1180,X,0,,0001,0001
800,0080201901,10,ZTAN,YANGLH,10:41:04 AM,1/2/24,500-6336,500-6336,500,1000,3013,,,0330306A0022,MM,38,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/2/24,38,"100G Q28 SR4 G3,Avago LP Vcsel Array,ZTE",,,0,,,0010035620,10,X,0,K,0001,0001
800,0080211229,20,ZTAN,ZHANGDL,4:15:22 PM,3/5/24,500-7041,500-7041,500,1000,3013,,,34061299-006,SM,38,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,7/5/24,38,"100G QSFP28 CWDM4 Gen3 1310nm,2Km HT",,,0,,,0010038823,3,X,0,K,0001,0001
800,0080206876,10,YKBN,BIZLINK,8:23:35 AM,2/1/24,500-5391-007,500-5391-007,500,1000,3013,,,10-3176-04,MM,39,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/1/24,39,Q28 AOC G3 7m Sony Vcsel Cisco,,,0,,,0020017742,120,X,0,,0001,0001
800,0080213019,10,YKEN,BIZLINK,10:39:27 PM,3/17/24,500-5391-007,500-5391-007,500,1000,3013,,,10-3176-04,MM,39,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/17/24,39,Q28 AOC G3 7m Sony Vcsel Cisco,,,0,,,0040019645,70,X,0,K,0001,0001
800,0080203093,10,ZTAN,WANGZB,9:35:57 AM,1/31/24,500-6266,500-6266,500,1000,3013,,,3406A078,SM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/31/24,40,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",,,0,,,0010036710,90,X,0,K,0001,0001
800,0080203716,10,YKBN,BIZLINK,9:53:20 AM,1/14/24,500-5391-030,500-5391-030,500,1000,3013,,,10-3181-04,MM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/15/24,40,Q28 AOC G3 30m Sony Vcsel Cisco,,,0,,,0020017748,60,X,0,,0001,0001
800,0080203717,10,YKBN,BIZLINK,9:53:28 AM,1/14/24,500-5391-030,500-5391-030,500,1000,3013,,,10-3181-04,MM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/15/24,40,Q28 AOC G3 30m Sony Vcsel Cisco,,,0,,,0020017748,70,X,0,,0001,0001
800,0080203718,10,YKBN,BIZLINK,9:53:37 AM,1/14/24,500-5391-030,500-5391-030,500,1000,3013,,,10-3181-04,MM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/15/24,40,Q28 AOC G3 30m Sony Vcsel Cisco,,,0,,,0020017748,80,X,0,,0001,0001
800,0080203719,10,YKBN,BIZLINK,9:53:46 AM,1/14/24,500-5391-030,500-5391-030,500,1000,3013,,,10-3181-04,MM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/15/24,40,Q28 AOC G3 30m Sony Vcsel Cisco,,,0,,,0020017748,90,X,0,,0001,0001
800,0080203720,10,YKBN,BIZLINK,9:53:54 AM,1/14/24,500-5391-030,500-5391-030,500,1000,3013,,,10-3181-04,MM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/15/24,40,Q28 AOC G3 30m Sony Vcsel Cisco,,,0,,,0020017748,100,X,0,,0001,0001
800,0080203721,10,YKBN,BIZLINK,9:54:03 AM,1/14/24,500-5391-030,500-5391-030,500,1000,3013,,,10-3181-04,MM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/15/24,40,Q28 AOC G3 30m Sony Vcsel Cisco,,,0,,,0020017748,110,X,0,,0001,0001
800,0080203722,10,YKBN,BIZLINK,9:54:09 AM,1/14/24,500-5391-030,500-5391-030,500,1000,3013,,,10-3181-04,MM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/15/24,40,Q28 AOC G3 30m Sony Vcsel Cisco,,,0,,,0020017748,120,X,0,,0001,0001
800,0080203724,10,YKBN,BIZLINK,9:54:25 AM,1/14/24,500-5391-030,500-5391-030,500,1000,3013,,,10-3181-04,MM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/15/24,40,Q28 AOC G3 30m Sony Vcsel Cisco,,,0,,,0020017748,140,X,0,,0001,0001
800,0080204177,10,YKBN,BIZLINK,8:36:38 PM,1/16/24,561-0026,561-0026,561,7000,3013,,,740-061408,SM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/16/24,40,"CWDM4,Juniper S3BU,Gen3 Mits DFB,TW",,,0,,,0020017376,10,X,0,,0001,0001
800,0080204178,10,YKBN,BIZLINK,8:36:39 PM,1/16/24,561-0026,561-0026,561,7000,3013,,,740-061408,SM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/16/24,40,"CWDM4,Juniper S3BU,Gen3 Mits DFB,TW",,,0,,,0020017377,10,X,0,,0001,0001
800,0080204546,10,ZTAN,BIZLINK,11:45:54 AM,1/19/24,500-4889,500-4889,500,1000,3013,,,Q.161HG.2.C,SM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/19/24,40,"CWDM4 COP V2.0,FlexOptix(Oclaro DFB)",,,0,,,0010037774,160,X,0,K,0001,0001
800,0080205561,10,ZTAN,BIZLINK,3:30:08 PM,1/25/24,500-7207-020,500-7207-020,500,1000,3013,,,TF-FC020-N00,MM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/25/24,40,"100G AOC Gen3,20m,Sony Vcsel,Standard",,,0,,,0010038550,30,X,0,K,0001,0001
800,0080206270,10,YKEN,BIZLINK,9:19:14 PM,1/29/24,500-4067-02,500-4067-02,500,1000,3013,,,740-073095,SM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/29/24,40,40G QSFP+ LR4 V3.0(CWDM4 Plat_Ocl DFB)JC,,,0,,,0040018897,10,X,0,K,0001,0001
800,0080206339,10,YKEN,BIZLINK,1:56:36 PM,1/30/24,500-5391-002,500-5391-002,500,1000,3013,,,10-3173-04,MM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/30/24,40,Q28 AOC G3 2m Sony Vcsel Cisco,,,0,,,0040018917,10,X,0,K,0001,0001
800,0080206361,10,YKEN,BIZLINK,1:57:35 PM,1/30/24,500-5500,500-5500,500,1000,3013,,,10-3220-02,SM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/30/24,40,"Q28 CWDM4 Lite V2.0,Cisco(Weld+Mit DFB)",,,0,,,0040018939,10,X,0,K,0001,0001
800,0080206362,10,YKEN,BIZLINK,1:57:37 PM,1/30/24,500-5500,500-5500,500,1000,3013,,,10-3220-02,SM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/30/24,40,"Q28 CWDM4 Lite V2.0,Cisco(Weld+Mit DFB)",,,0,,,0040018940,10,X,0,K,0001,0001
800,0080206376,10,YKEN,BIZLINK,1:58:13 PM,1/30/24,500-5391-001,500-5391-001,500,1000,3013,,,10-3172-04,MM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/30/24,40,Q28 AOC G3 1m Sony Vcsel Cisco,,,0,,,0040018954,10,X,0,K,0001,0001
800,0080206407,10,YKEN,BIZLINK,1:59:32 PM,1/30/24,500-5391-002,500-5391-002,500,1000,3013,,,10-3173-04,MM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/30/24,40,Q28 AOC G3 2m Sony Vcsel Cisco,,,0,,,0040018985,10,X,0,K,0001,0001
800,0080206414,10,YKEN,BIZLINK,1:59:51 PM,1/30/24,500-5391-002,500-5391-002,500,1000,3013,,,10-3173-04,MM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/30/24,40,Q28 AOC G3 2m Sony Vcsel Cisco,,,0,,,0040018992,10,X,0,K,0001,0001
800,0080206415,10,YKEN,BIZLINK,1:59:53 PM,1/30/24,500-5500,500-5500,500,1000,3013,,,10-3220-02,SM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/30/24,40,"Q28 CWDM4 Lite V2.0,Cisco(Weld+Mit DFB)",,,0,,,0040018993,10,X,0,K,0001,0001
800,0080206571,10,YKEN,BIZLINK,2:06:25 PM,1/30/24,500-5500,500-5500,500,1000,3013,,,10-3220-02,SM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/30/24,40,"Q28 CWDM4 Lite V2.0,Cisco(Weld+Mit DFB)",,,0,,,0040019149,10,X,0,K,0001,0001
800,0080207587,10,YKBN,BIZLINK,8:01:08 AM,2/7/24,500-5391-025,500-5391-025,500,1000,3013,,,10-3180-04,MM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,4/5/24,40,Q28 AOC G3 25m Sony Vcsel Cisco,,,0,,,0020017752,20,X,0,,0001,0001
800,0080209413,10,YKEN,BIZLINK,4:17:14 PM,2/25/24,561-0124,561-0124,561,7000,3013,,,10-3142-03,MM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/25/24,40,"100G SR4 G3 semetch+Avago+GCS,cisco TW",,,0,,,0040019221,10,X,0,K,0001,0001
800,0080209490,10,YKEN,BIZLINK,5:09:20 PM,2/25/24,500-5500,500-5500,500,1000,3013,,,10-3220-02,SM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/25/24,40,"Q28 CWDM4 Lite V2.0,Cisco(Weld+Mit DFB)",,,0,,,0040019298,10,X,0,K,0001,0001
800,0080209518,10,YKEN,BIZLINK,5:10:28 PM,2/25/24,500-5614-010,500-5614-010,500,1000,3013,,,10-3177-04,MM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/25/24,40,Q28 AOC G3 10m BRCM Vcsel Cisco,,,0,,,0040019326,10,X,0,K,0001,0001
800,0080209849,10,YKEN,BIZLINK,1:05:26 PM,2/27/24,500-4067-02,500-4067-02,500,1000,3013,,,740-073095,SM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/27/24,40,40G QSFP+ LR4 V3.0(CWDM4 Plat_Ocl DFB)JC,,,0,,,0040019356,10,X,0,K,0001,0001
800,0080209850,10,YKEN,BIZLINK,1:06:16 PM,2/27/24,500-4067-02,500-4067-02,500,1000,3013,,,740-073095,SM,40,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/27/24,40,40G QSFP+ LR4 V3.0(CWDM4 Plat_Ocl DFB)JC,,,0,,,0040019357,10,X,0,K,0001,0001
