substitution group,Priority,Usage percentage,component,Assemble P/N
C1,0,100,280-1020,260-0237
C1,0,0,223-0012,260-0237
A1,0,100,260-0261,502-2241
A1,0,0,280-1481,260-0261
A1,0,0,280-0213,280-1481
A1,0,100,280-0765,280-1481
A1,0,0,280-0425,280-1481
A1,0,0,284-0014,280-1481
AA,0,100,283-0110-27,280-1480-27
AA,0,0,283-0081,280-1480-27
AA,0,100,283-0110-29,280-1480-29
AA,0,0,283-0171,280-1480-29
AA,0,100,283-0110-31,280-1480-31
AA,0,0,283-0080,280-1480-31
AA,0,100,283-0110-33,280-1480-33
AA,0,0,283-0082,280-1480-33
A1,0,100,280-1807,260-0261
A1,0,0,280-0213,280-1807
A1,0,100,280-0765,280-1807
A1,0,0,280-0425,280-1807
A1,0,0,284-0014,280-1807
B1,0,100,504-1532,280-1807
B1,0,0,504-1319,280-1807
B1,0,0,504-1693,280-1807
B1,0,0,504-1548,280-1807
B1,0,0,504-1817,280-1807
C1,0,0,140-0364,280-1807
C1,0,100,140-0547,280-1807
D1,0,0,100-0084,280-1807
D1,0,100,101-0001,280-1807
B1,0,100,280-1133,260-0261
B1,0,0,223-0011,260-0261
C1,0,100,280-1020,260-0261
C1,0,0,223-0012,260-0261
A1,0,100,260-0141-02,502-2617
A1,0,0,260-0236,502-2617
A1,0,0,280-0213,280-1085
A1,0,100,280-0765,280-1085
A1,0,0,280-0425,280-1085
A1,0,0,284-0014,280-1085
A2,0,100,280-0926,280-1085
A2,0,0,280-0926-02,280-1085
A2,0,0,280-1189,280-1085
A2,0,0,280-1189-02,280-1085
A2,0,100,310-0014,502-1733
A2,0,0,302-0007,502-1733
A1,0,100,310-0323,502-1733
A1,0,0,302-0004,502-1733
A3,0,0,310-0178,502-1733
A3,0,100,311-0102,502-1733
A1,0,0,310-0014,502-1713
A2,0,0,310-0323,502-1713
A1,0,100,302-0007,502-1713
A2,0,100,302-0004,502-1713
A1,0,0,280-0213,280-0934
A1,0,100,280-0765,280-0934
A1,0,0,280-0770,280-0930
A1,0,100,280-0607,280-0930
A1,0,0,280-0213,280-0929
A1,0,0,280-0425,280-0929
A1,0,100,280-0765,280-0929
A2,0,100,280-0928,280-0929
A1,0,100,504-1319,280-0928
A1,0,0,504-1548,280-0928
A2,0,0,280-1095,280-0929
A1,0,100,504-1319,280-1095
A1,0,0,504-1548,280-1095
A2,0,0,310-0014,502-1677
A2,0,100,302-0007,502-1677
A1,0,0,310-0323,502-1677
A1,0,100,302-0004,502-1677
A3,0,0,310-0178,502-1677
A3,0,100,311-0102,502-1677
A1,0,100,330-0088,500-3633
A1,0,0,330-0314,500-3633
A1,0,100,280-0213,280-1041
A1,0,0,280-0765,280-1041
A1,0,0,280-0425,280-1041
A1,0,0,284-0014,280-1041
A2,0,100,280-0926,280-1041
A2,0,0,280-0926-02,280-1041
A2,0,0,280-1189,280-1041
A2,0,0,280-1189-02,280-1041
A3,0,100,310-0014,502-1693
A3,0,0,302-0007,502-1693
A1,0,100,310-0323,502-1693
A1,0,0,302-0004,502-1693
A2,0,0,310-0178,502-1693
A2,0,100,311-0102,502-1693
A1,0,100,330-0088,500-3633-01
A1,0,0,330-0314,500-3633-01
A1,0,100,330-0088,500-3633-04
A1,0,0,330-0314,500-3633-04
A1,0,100,310-0014,502-1818
A1,0,0,302-0007,502-1818
A2,0,100,310-0323,502-1818
A2,0,0,302-0004,502-1818
A3,0,0,310-0178,502-1818
A3,0,100,311-0102,502-1818
A1,0,0,280-0213,280-1091
A1,0,100,280-0765,280-1091
A1,0,0,280-0425,280-1091
A1,0,0,284-0014,280-1091
A1,0,100,120-0051,504-1399
A1,0,0,120-0248,504-1399
A2,0,100,120-0129,504-1399
A2,0,0,120-0249,504-1399
A5,0,100,130-0077,504-1399
A5,0,0,140-0384,504-1399
A4,0,0,140-0253,504-1399
A4,0,100,140-0645,504-1399
A3,0,0,140-0392,504-1399
A3,0,0,140-0628,504-1399
A3,0,100,140-0834,504-1399
A3,0,100,100-0084,280-1090
A3,0,0,101-0001,280-1090
A2,0,100,280-0293-29,280-1054-29
A2,0,100,280-0293-31,280-1054-31
A2,0,100,280-0293-33,280-1054-33
A1,0,100,280-0213,280-1083
A1,0,0,280-0765,280-1083
A1,0,0,280-0425,280-1083
A1,0,0,284-0014,280-1083
A2,0,100,280-1050,280-1083
B1,0,0,140-0364,280-1050
B1,0,0,140-0446,280-1050
B1,0,100,140-0547,280-1050
A2,0,0,280-1050-02,280-1083
A1,0,0,140-0364,280-1050-02
A1,0,0,140-0446,280-1050-02
A1,0,100,140-0547,280-1050-02
A2,0,0,280-1190,280-1083
A1,0,0,140-0364,280-1190
A1,0,0,140-0446,280-1190
A1,0,100,140-0547,280-1190
A2,0,0,280-1190-02,280-1083
A1,0,0,140-0364,280-1190-02
A1,0,0,140-0446,280-1190-02
A1,0,100,140-0547,280-1190-02
A1,0,100,280-0699,280-1052
A1,0,0,282-0042,280-1052
A2,0,100,280-0700,280-1052
A2,0,0,280-1134,280-1052
A1,0,100,310-0014,502-1728
A1,0,0,302-0007,502-1728
A2,0,100,310-0323,502-1728
A2,0,0,302-0004,502-1728
A3,0,0,310-0178,502-1728
A3,0,100,311-0102,502-1728
A1,0,0,280-0213,280-1094
A1,0,100,280-0765,280-1094
A1,0,0,280-0425,280-1094
A2,0,0,310-0014,502-1757
A2,0,100,302-0007,502-1757
A1,0,0,310-0323,502-1757
A1,0,100,302-0004,502-1757
A3,0,0,310-0178,502-1757
A3,0,100,311-0102,502-1757
A1,0,0,280-0213,280-1096
A1,0,100,280-0765,280-1096
A1,0,0,280-0425,280-1096
A1,0,0,310-0014,502-1758
A1,0,100,302-0007,502-1758
A2,0,0,310-0323,502-1758
A2,0,100,302-0004,502-1758
A3,0,0,310-0178,502-1758
A3,0,100,311-0102,502-1758
A1,0,100,260-0141-02-R,502-1783-02-RW
A1,0,0,260-0236-R,502-1783-02-RW
A1,0,0,280-0213,280-1418-R
A1,0,0,280-0425,280-1418-R
A1,0,100,280-0765,280-1418-R
A1,0,0,284-0014,280-1418-R
A2,0,0,280-0916-27,280-1418-R
A2,0,100,280-0916-27-R,280-1418-R
A3,0,0,280-0916-29,280-1418-R
A3,0,100,280-0916-29-R,280-1418-R
A4,0,0,280-0916-31,280-1418-R
A4,0,100,280-0916-31-R,280-1418-R
A5,0,0,280-0916-33,280-1418-R
A5,0,100,280-0916-33-R,280-1418-R
A1,0,0,280-0213,280-1145
A1,0,100,280-0765,280-1145
A1,0,0,280-0425,280-1145
A1,0,0,284-0014,280-1145
A2,0,100,280-0926,280-1145
A2,0,0,280-0926-02,280-1145
A2,0,0,280-1189,280-1145
A2,0,0,280-1189-02,280-1145
A2,0,100,310-0014,502-1791
A2,0,0,302-0007,502-1791
A1,0,100,310-0323,502-1791
A1,0,0,302-0004,502-1791
A3,0,0,310-0178,502-1791
A3,0,100,311-0102,502-1791
B3,0,100,260-0145,502-1793
A1,0,0,280-1149,260-0145
A2,0,0,280-0213,280-1149
A2,0,100,280-0765,280-1149
A2,0,0,280-0425,280-1149
A1,0,0,504-1319,280-1148
A1,0,0,504-1548,280-1148
A1,0,100,504-1532,280-1148
A1,0,0,504-1817,280-1148
A1,0,0,504-1693,280-1148
A1,0,0,504-1815,280-1148
A2,0,100,100-0084,280-1148
A2,0,0,101-0001,280-1148
A1,0,100,280-1821,260-0145
A1,0,0,280-0213,280-1821
A1,0,100,280-0765,280-1821
A1,0,0,280-0425,280-1821
A1,0,0,284-0014,280-1821
B1,0,100,504-1532,280-1821
B1,0,0,504-1319,280-1821
B1,0,0,504-1693,280-1821
B1,0,0,504-1548,280-1821
B1,0,0,504-1817,280-1821
A3,0,0,100-0084,280-1821
A3,0,100,101-0001,280-1821
B1,0,100,280-1133,260-0145
B1,0,0,223-0011,260-0145
C1,0,100,280-1020,260-0145
C1,0,0,223-0012,260-0145
B3,0,0,260-0247,502-1793
A1,0,0,280-1456,260-0247
A1,0,0,280-0213,280-1456
A1,0,100,280-0765,280-1456
A1,0,0,280-0425,280-1456
A1,0,100,280-1822,260-0247
A1,0,0,280-0213,280-1822
A1,0,0,280-0765,280-1822
A1,0,100,280-0425,280-1822
A1,0,0,284-0014,280-1822
B1,0,100,504-1532,280-1822
B1,0,0,504-1319,280-1822
B1,0,0,504-1693,280-1822
B1,0,0,504-1548,280-1822
B1,0,0,504-1817,280-1822
A3,0,0,100-0084,280-1822
A3,0,100,101-0001,280-1822
C1,0,100,287-0003,260-0247
C1,0,0,280-0418,260-0247
A1,0,0,280-0213,280-1154-02
A1,0,100,280-0765,280-1154-02
A1,0,0,280-0425,280-1154-02
A1,0,100,504-1319,280-1151
A1,0,0,504-1548,280-1151
A1,0,0,310-0014,502-1801-02
A1,0,100,302-0007,502-1801-02
A2,0,0,310-0323,502-1801-02
A2,0,100,302-0004,502-1801-02
A3,0,0,310-0178,502-1801-02
A3,0,100,311-0102,502-1801-02
A1,0,0,280-0213,280-1154-03
A1,0,100,280-0765,280-1154-03
A1,0,0,280-0425,280-1154-03
A1,0,100,504-1319,280-1150
A1,0,0,504-1548,280-1150
A2,0,0,310-0014,502-1801-03
A2,0,100,302-0007,502-1801-03
A1,0,0,310-0323,502-1801-03
A1,0,100,302-0004,502-1801-03
A3,0,0,310-0178,502-1801-03
A3,0,100,311-0102,502-1801-03
A1,0,0,280-0213,280-1154-04
A1,0,100,280-0765,280-1154-04
A1,0,0,280-0425,280-1154-04
A1,0,0,310-0014,502-1801-04
A1,0,100,302-0007,502-1801-04
A2,0,0,310-0323,502-1801-04
A2,0,100,302-0004,502-1801-04
A3,0,0,310-0178,502-1801-04
A3,0,100,311-0102,502-1801-04
A1,0,0,280-1157,260-0148
A2,0,0,280-0213,280-1157
A2,0,100,280-0765,280-1157
A2,0,0,280-0425,280-1157
A1,0,0,504-1319,280-1156
A1,0,0,504-1548,280-1156
A1,0,100,504-1532,280-1156
A1,0,0,504-1817,280-1156
A1,0,0,504-1693,280-1156
A1,0,0,504-1815,280-1156
A3,0,100,100-0084,280-1156
A3,0,0,101-0001,280-1156
A1,0,100,280-1820,260-0148
A1,0,0,280-0213,280-1820
A1,0,100,280-0765,280-1820
A1,0,0,280-0425,280-1820
A1,0,0,284-0014,280-1820
B1,0,100,504-1532,280-1820
B1,0,0,504-1319,280-1820
B1,0,0,504-1693,280-1820
B1,0,0,504-1548,280-1820
B1,0,0,504-1817,280-1820
A3,0,0,100-0084,280-1820
A3,0,100,101-0001,280-1820
B1,0,100,280-1133,260-0148
B1,0,0,223-0011,260-0148
C1,0,100,280-1020,260-0148
C1,0,0,223-0012,260-0148
A1,0,0,280-0213,280-1158
A1,0,100,280-0765,280-1158
A1,0,0,280-0425,280-1158
A1,0,0,284-0014,280-1158
A2,0,100,280-1093-27,280-1158
A3,0,100,280-1093-29,280-1158
A4,0,100,280-1093-31,280-1158
A5,0,100,280-1093-33,280-1158
A2,0,0,280-1480-27,280-1158
A3,0,0,280-1480-29,280-1158
A4,0,0,280-1480-31,280-1158
A5,0,0,280-1480-33,280-1158
A1,0,0,280-0213,280-1818
A1,0,100,280-0765,280-1818
A1,0,0,280-0425,280-1818
A1,0,0,284-0014,280-1818
B1,0,100,504-1532,280-1818
B1,0,0,504-1319,280-1818
B1,0,0,504-1693,280-1818
B1,0,0,504-1548,280-1818
B1,0,0,504-1817,280-1818
A3,0,0,100-0084,280-1818
A3,0,100,101-0001,280-1818
A2,0,100,502-1733,500-3817-04
A2,0,0,502-1891,500-3817-04
A1,0,100,310-0014,502-1891
A1,0,0,302-0007,502-1891
A2,0,100,310-0323,502-1891
A2,0,0,302-0004,502-1891
A3,0,0,310-0178,502-1891
A3,0,100,311-0102,502-1891
A2,0,100,502-1733,500-3820-04
A2,0,0,502-1891,500-3820-04
A1,0,100,351-0009,500-3822
A1,0,0,351-0011,500-3822
A1,0,0,351-0012,500-3822
A1,0,0,351-0013,500-3822
A1,0,0,280-0213,280-1178
A1,0,100,280-0765,280-1178
A3,0,0,504-1482,502-1822
A1,0,0,310-0014,502-1822
A2,0,0,310-0323,502-1822
A1,0,100,302-0007,502-1822
A2,0,100,302-0004,502-1822
A3,0,100,504-1747,502-1822
A1,0,0,280-1195-01,260-0153-01
A1,0,0,280-0213,280-1195-01
A1,0,100,280-0765,280-1195-01
A1,0,0,280-0425,280-1195-01
A1,0,100,504-1369,280-1194
D1,0,0,320-0577,280-1194
A2,0,100,100-0084,280-1194
A2,0,0,101-0001,280-1194
A1,0,0,504-1753,280-1194
D1,0,100,320-0763,280-1194
A1,0,100,280-1823,260-0153-01
A1,0,0,280-0213,280-1823
A1,0,100,280-0765,280-1823
A1,0,0,280-0425,280-1823
A1,0,0,284-0014,280-1823
A2,0,100,504-1369,280-1823
A2,0,0,504-1753,280-1823
A3,0,0,100-0084,280-1823
A3,0,100,101-0001,280-1823
C1,0,100,287-0003,260-0153-01
C1,0,0,280-0418,260-0153-01
A1,0,0,280-1195-02,260-0153-02
B2,0,0,280-0213,280-1195-02
B2,0,100,280-0765,280-1195-02
B2,0,0,280-0425,280-1195-02
A1,0,100,280-1824,260-0153-02
A1,0,0,280-0213,280-1824
A1,0,100,280-0765,280-1824
A1,0,0,280-0425,280-1824
A1,0,0,284-0014,280-1824
A2,0,100,504-1369,280-1824
A2,0,0,504-1753,280-1824
A3,0,0,100-0084,280-1824
A3,0,100,101-0001,280-1824
B1,0,100,280-1133,260-0153-02
B1,0,0,223-0011,260-0153-02
C1,0,100,280-1020,260-0153-02
C1,0,0,223-0012,260-0153-02
A2,0,0,280-0213,280-1201
A2,0,100,280-0765,280-1201
A2,0,0,280-0425,280-1201
A2,0,0,284-0014,280-1201
A1,0,100,280-1159,280-1201
A1,0,0,280-1210-02,280-1201
B1,0,100,280-1133,260-0156
B1,0,0,223-0011,260-0156
C1,0,100,280-1020,260-0156
C1,0,0,223-0012,260-0156
A1,0,0,280-0213,280-1203-01
A1,0,100,280-0765,280-1203-01
A1,0,0,280-0425,280-1203-01
A2,0,100,280-1204,280-1203-01
A2,0,0,280-1205,280-1203-01
A1,0,100,100-0084,280-1205
A1,0,0,101-0001,280-1205
A1,0,0,302-0007,502-1847-01
A1,0,100,310-0014,502-1847-01
A3,0,0,302-0004,502-1847-01
A3,0,100,310-0323,502-1847-01
A2,0,100,310-0178,502-1847-01
A2,0,0,311-0102,502-1847-01
A1,0,100,330-0088,500-3913
A1,0,0,330-0314,500-3913
A1,0,0,280-0213,280-1203-02
A1,0,100,280-0765,280-1203-02
A1,0,0,280-0425,280-1203-02
A2,0,100,280-1204,280-1203-02
A2,0,0,280-1205,280-1203-02
A3,0,0,302-0007,502-1847-02
A3,0,100,310-0014,502-1847-02
A1,0,0,302-0004,502-1847-02
A1,0,100,310-0323,502-1847-02
A2,0,100,310-0178,502-1847-02
A2,0,0,311-0102,502-1847-02
A1,0,100,330-0088,500-3913-02
A1,0,0,330-0314,500-3913-02
A2,0,0,280-0213,280-1203-03
A2,0,100,280-0765,280-1203-03
A2,0,0,280-0425,280-1203-03
A1,0,100,280-1204,280-1203-03
A1,0,0,280-1205,280-1203-03
A1,0,0,302-0007,502-1847-03
A1,0,100,310-0014,502-1847-03
A3,0,0,302-0004,502-1847-03
A3,0,100,310-0323,502-1847-03
A2,0,100,310-0178,502-1847-03
A2,0,0,311-0102,502-1847-03
A1,0,100,330-0088,500-3913-03
A1,0,0,330-0314,500-3913-03
A1,0,100,280-0213,280-1206
A1,0,0,280-0765,280-1206
A3,0,0,504-1482,502-1853
A1,0,0,310-0014,502-1853
A2,0,0,310-0323,502-1853
A1,0,100,302-0007,502-1853
A2,0,100,302-0004,502-1853
A3,0,100,504-1747,502-1853
A1,0,0,280-0213,280-1211-01
A1,0,100,280-0765,280-1211-01
A1,0,0,280-0425,280-1211-01
A1,0,0,284-0014,280-1211-01
A2,0,100,280-1210-01,280-1211-01
A1,0,0,140-0364,280-1210-01
A1,0,100,140-0547,280-1210-01
A2,0,0,280-1210-02,280-1211-01
A1,0,100,287-0003,260-0164-01
A1,0,0,280-0418,260-0164-01
A1,0,0,280-0213,280-1213-01
A1,0,100,280-0765,280-1213-01
A1,0,0,280-0425,280-1213-01
A2,0,100,280-1212-01,280-1213-01
A1,0,0,140-0364,280-1212-01
A1,0,100,140-0547,280-1212-01
A2,0,0,280-1212-02,280-1213-01
A1,0,0,140-0364,280-1212-02
A1,0,100,140-0547,280-1212-02
A1,0,100,310-0014,502-1880-01
A1,0,0,302-0007,502-1880-01
A2,0,100,310-0323,502-1880-01
A2,0,0,302-0004,502-1880-01
A1,0,0,310-0014,502-2205
A1,0,100,302-0007,502-2205
A2,0,0,310-0323,502-2205
A2,0,100,302-0004,502-2205
A1,0,0,280-0213,280-1155-02
A1,0,100,280-0765,280-1155-02
A1,0,0,280-0425,280-1155-02
A1,0,0,284-0014,280-1155-02
D1,0,100,100-0084,280-1153
D1,0,0,101-0001,280-1153
A1,0,0,280-0213,280-1297
A1,0,100,280-0765,280-1297
A3,0,0,504-1482,502-1986
A1,0,0,310-0014,502-1986
A1,0,100,302-0007,502-1986
A2,0,0,310-0323,502-1986
A2,0,100,302-0004,502-1986
A3,0,100,504-1747,502-1986
A1,0,0,260-0250,502-3207
A1,0,0,280-1391,260-0250
A1,0,100,280-2019-CD,260-0250
A1,0,0,280-1093-27,280-1464
A2,0,0,280-1093-29,280-1464
A3,0,0,280-1093-31,280-1464
A4,0,0,280-1093-33,280-1464
A2,0,100,100-0084,280-1465
A2,0,0,101-0001,280-1465
A4,0,0,280-0698,280-1392
A3,0,0,282-0040,280-1392
A3,0,0,282-0053,280-1392
A4,0,100,282-0330,280-1392
A3,0,100,282-0333,280-1392
A1,0,0,504-1728,280-1465
C1,0,100,120-0202,504-1728
C1,0,0,120-0099,504-1728
C1,0,0,120-0253,504-1728
D1,0,100,130-0077,504-1728
D1,0,0,140-0384,504-1728
B1,0,0,140-0253,504-1728
B1,0,100,140-0645,504-1728
A1,0,0,140-0392,504-1728
A1,0,100,140-0834,504-1728
A1,0,100,504-1877,280-1465
C1,0,0,120-0099,504-1877
C1,0,100,120-0202,504-1877
C1,0,0,120-0253,504-1877
D1,0,100,130-0077,504-1877
D1,0,0,140-0384,504-1877
A1,0,0,140-0392,504-1877
A1,0,100,140-0834,504-1877
B1,0,100,140-0253,504-1877
B1,0,0,140-0645,504-1877
A1,0,100,280-1480-27,280-1464
A2,0,100,280-1480-29,280-1464
A3,0,100,280-1480-31,280-1464
A4,0,100,280-1480-33,280-1464
A1,0,0,260-0306,502-3207
A1,0,0,280-1391,260-0306
A1,0,100,280-2019-CD,260-0306
P1,0,0,504-1728,280-1594
P1,0,100,504-1877,280-1594
A1,0,100,100-0084,280-1594
A1,0,0,101-0001,280-1594
T5,0,0,280-0213,280-1593
T5,0,0,280-0425,280-1593
T5,0,100,280-0765,280-1593
T5,0,0,284-0014,280-1593
T1,0,0,280-1093-27,280-1593
T1,0,100,280-1480-27,280-1593
T2,0,0,280-1093-29,280-1593
T2,0,100,280-1480-29,280-1593
T3,0,0,280-1093-31,280-1593
T3,0,100,280-1480-31,280-1593
T4,0,0,280-1093-33,280-1593
T4,0,100,280-1480-33,280-1593
A1,0,100,260-0325,502-3207
A1,0,0,280-1391,260-0325
A1,0,100,280-2019-CD,260-0325
T5,0,0,280-0213,280-1638
T5,0,100,280-0425,280-1638
T5,0,0,280-0765,280-1638
T5,0,0,284-0014,280-1638
T6,0,0,100-0084,280-1638
T6,0,100,101-0001,280-1638
T1,0,0,280-1093-27,280-1638
T1,0,100,280-1480-27,280-1638
T2,0,0,280-1093-29,280-1638
T2,0,100,280-1480-29,280-1638
T3,0,0,280-1093-31,280-1638
T3,0,100,280-1480-31,280-1638
T4,0,0,280-1093-33,280-1638
T4,0,100,280-1480-33,280-1638
T7,0,0,504-1728,280-1638
T7,0,100,504-1877,280-1638
A1,0,100,260-0141-02,502-2375
A1,0,0,260-0278,502-2375
A1,0,0,260-0236,502-2375
A1,0,100,260-0145,502-2388
A1,0,0,260-0247,502-2388
A1,0,0,280-0213,280-1524
A1,0,100,280-0765,280-1524
A1,0,0,280-0425,280-1524
A2,0,100,280-1093-27,280-1524
A3,0,100,280-1093-29,280-1524
A4,0,100,280-1093-31,280-1524
A5,0,100,280-1093-33,280-1524
A2,0,0,280-1480-27,280-1524
A3,0,0,280-1480-29,280-1524
A4,0,0,280-1480-31,280-1524
A5,0,0,280-1480-33,280-1524
A1,0,0,280-0213,280-1819
A1,0,100,280-0765,280-1819
A1,0,0,280-0425,280-1819
A1,0,0,284-0014,280-1819
B1,0,100,504-1532,280-1819
B1,0,0,504-1319,280-1819
B1,0,0,504-1693,280-1819
B1,0,0,504-1548,280-1819
B1,0,0,504-1817,280-1819
A3,0,0,100-0084,280-1819
A3,0,100,101-0001,280-1819
A1,0,0,280-1530,260-0277
A1,0,0,280-0213,280-1530
A1,0,100,280-0765,280-1530
A1,0,0,280-0425,280-1530
A1,0,0,284-0014,280-1530
A1,0,100,280-1812,260-0277
A1,0,0,280-0213,280-1812
A1,0,100,280-0765,280-1812
A1,0,0,280-0425,280-1812
A1,0,0,284-0014,280-1812
B1,0,100,504-1753,280-1812
B1,0,0,504-1369,280-1812
C1,0,0,100-0084,280-1812
C1,0,100,101-0001,280-1812
B1,0,100,280-1133,260-0277
B1,0,0,223-0011,260-0277
C1,0,100,280-1020,260-0277
C1,0,0,223-0012,260-0277
A1,0,0,260-0237,502-2534
A1,0,100,260-0261,502-2534
A1,0,0,280-1575,260-0298
A1,0,0,280-0213,280-1575
A1,0,100,280-0765,280-1575
A1,0,0,280-0425,280-1575
A1,0,0,284-0014,280-1575
A2,0,100,280-1093-27,280-1575
A3,0,100,280-1093-29,280-1575
A4,0,100,280-1093-31,280-1575
A5,0,100,280-1093-33,280-1575
A2,0,0,280-1480-27,280-1575
A3,0,0,280-1480-29,280-1575
A4,0,0,280-1480-31,280-1575
A5,0,0,280-1480-33,280-1575
A1,0,100,280-1825,260-0298
A1,0,0,280-0213,280-1825
A1,0,100,280-0765,280-1825
A1,0,0,280-0425,280-1825
A1,0,0,284-0014,280-1825
A2,0,100,504-1369,280-1825
A2,0,0,504-1753,280-1825
A3,0,0,100-0084,280-1825
A3,0,100,101-0001,280-1825
A1,0,100,260-0261,502-2545
A1,0,0,260-0237,502-2545
A1,0,100,260-0261,502-2546
A1,0,0,260-0237,502-2546
A1,0,100,260-0261,502-3189
A1,0,0,260-0237,502-3189
A1,0,100,351-0009,500-5499
A1,0,0,351-0011,500-5499
A1,0,0,351-0012,500-5499
A1,0,0,351-0013,500-5499
A1,0,100,351-0009,500-5500
A1,0,0,351-0011,500-5500
A1,0,0,351-0012,500-5500
A1,0,0,351-0013,500-5500
A1,0,0,260-0306,502-2619
A1,0,100,260-0325,502-2619
A1,0,0,260-0250,502-2619
A1,0,0,260-0555,502-2619
A1,0,0,280-1391,260-0555
A1,0,100,280-2019-CD,260-0555
P1,0,0,504-1728,280-2169
P1,0,100,504-1877,280-2169
T1,0,0,280-1093-27,280-2169
T1,0,100,280-1480-27,280-2169
T2,0,0,280-1093-29,280-2169
T2,0,100,280-1480-29,280-2169
T3,0,0,280-1093-31,280-2169
T3,0,100,280-1480-31,280-2169
T4,0,0,280-1093-33,280-2169
T4,0,100,280-1480-33,280-2169
T5,0,100,280-0213,280-2169
T5,0,0,280-0425,280-2169
T5,0,0,280-0765,280-2169
T5,0,0,284-0014,280-2169
A1,0,0,280-1705,260-0353
A1,0,0,284-0014,280-1705
A1,0,0,280-0425,280-1705
A1,0,100,280-0765,280-1705
A1,0,0,280-0213,280-1705
A1,0,100,280-1809,260-0353
A1,0,0,280-0213,280-1809
A1,0,100,280-0765,280-1809
A1,0,0,280-0425,280-1809
A1,0,0,284-0014,280-1809
B1,0,100,504-1532,280-1809
B1,0,0,504-1319,280-1809
B1,0,0,504-1693,280-1809
B1,0,0,504-1548,280-1809
B1,0,0,504-1817,280-1809
C1,0,0,140-0364,280-1809
C1,0,100,140-0547,280-1809
D1,0,0,100-0084,280-1809
D1,0,100,101-0001,280-1809
B1,0,100,280-1133,260-0353
B1,0,0,223-0011,260-0353
C1,0,100,280-1020,260-0353
C1,0,0,223-0012,260-0353
A1,0,0,280-1706,260-0354
A1,0,0,284-0014,280-1706
A1,0,0,280-0425,280-1706
A1,0,100,280-0765,280-1706
A1,0,0,280-0213,280-1706
A1,0,100,280-1810,260-0354
A1,0,0,280-0213,280-1810
A1,0,100,280-0765,280-1810
A1,0,0,280-0425,280-1810
A1,0,0,284-0014,280-1810
B1,0,100,504-1532,280-1810
B1,0,0,504-1319,280-1810
B1,0,0,504-1693,280-1810
B1,0,0,504-1548,280-1810
B1,0,0,504-1817,280-1810
C1,0,0,140-0364,280-1810
C1,0,100,140-0547,280-1810
D1,0,0,100-0084,280-1810
D1,0,100,101-0001,280-1810
B1,0,100,280-1133,260-0354
B1,0,0,223-0011,260-0354
C1,0,100,280-1020,260-0354
C1,0,0,223-0012,260-0354
B1,0,0,260-0250,502-2304
B1,0,0,260-0306,502-2304
B1,0,100,260-0325,502-2304
B1,0,0,260-0555,502-2304
A1,1,100,280-0213,280-1876-CD
O1,1,100,310-0414-01,280-1828-CD
O1,0,0,313-0065,280-1828-CD
O1,0,0,313-0083,280-1828-CD
B1,2,0,283-0098,280-1876-CD
C1,3,0,120-0099,504-2020-CD
C1,2,0,120-0202,504-2020-CD
C1,1,100,120-0253,504-2020-CD
D1,1,100,130-0077,504-2020-CD
B1,1,100,140-0253,504-2020-CD
D1,2,0,140-0384,504-2020-CD
A1,2,0,140-0392,504-2020-CD
B1,2,0,140-0645,504-2020-CD
A1,1,100,140-0834,504-2020-CD
A1,2,0,280-0425,280-1876-CD
B1,1,100,280-0607,280-1876-CD
O1,0,100,310-0414-01,260-0365-CD
O1,0,0,313-0065,260-0365-CD
O1,0,0,313-0083,260-0365-CD
A1,1,100,280-0213,280-1877-CD
B1,2,0,283-0098,280-1877-CD
A1,2,0,280-0425,280-1877-CD
B1,1,100,280-0607,280-1877-CD
O1,0,100,310-0414-01,260-0366-CD
O1,0,0,313-0065,260-0366-CD
O1,0,0,313-0083,260-0366-CD
A1,0,100,340-0063,502-2709
A1,0,0,340-0063-R,502-2709
A1,0,100,340-0063,502-2710
A1,0,0,340-0063-R,502-2710
A1,0,0,280-1391,260-0417
A1,0,100,280-2019-CD,260-0417
T6,0,100,100-0084,280-1878
T6,0,0,101-0001,280-1878
T7,0,0,504-1728,280-1878
T7,0,100,504-1877,280-1878
A1,0,0,260-0250,502-3023
A1,0,0,260-0306,502-3023
A1,0,100,260-0325,502-3023
A1,0,100,260-0141-02,502-2848
A1,0,0,260-0236,502-2848
A1,0,0,260-0278,502-2848
A1,0,0,260-0441,502-2881
A1,0,0,280-0213,280-1928
A1,0,100,280-0765,280-1928
A1,0,0,280-0425,280-1928
A1,0,0,284-0014,280-1928
B1,0,100,504-1532,280-1928
B1,0,0,504-1319,280-1928
B1,0,0,504-1693,280-1928
B1,0,0,504-1548,280-1928
B1,0,0,504-1817,280-1928
D1,0,0,100-0084,280-1928
D1,0,100,101-0001,280-1928
A1,0,100,260-0199,502-2881
A1,1,100,280-0213,280-1962-CD
A1,2,0,280-0425,280-1962-CD
B1,2,0,283-0098,280-1962-CD
B1,1,100,280-0607,280-1962-CD
A1,2,0,283-0098,280-1964-CD
A1,1,100,280-0607,280-1964-CD
O1,0,0,313-0065,280-1976-CD
O1,0,0,313-0083,280-1976-CD
O1,0,100,310-0414-01,280-1976-CD
A1,2,0,283-0098,280-1975-CD
C1,3,0,120-0099,504-2120-CD
C1,2,0,120-0202,504-2120-CD
C1,1,100,120-0253,504-2120-CD
D1,1,100,130-0077,504-2120-CD
B1,1,100,140-0253,504-2120-CD
